"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0037580","FBtr0081841",2.07947065970802,1,0.149291940835718,0.730182720424297
"FBgn0020249","FBtr0081844",0.550662489746173,1,0.45804712748662,0.957204628381343
"FBgn0020249","FBtr0081845",8.14163005684532,1,0.00432603771726306,0.101317000765738
"FBgn0020249","FBtr0306260",0.0728037408553064,1,0.787297440349376,1
"FBgn0037592","FBtr0081869",0.157747143462075,1,0.691239193468617,1
"FBgn0037592","FBtr0310048",0.157747143462075,1,0.691239193468617,1
"FBgn0051460","FBtr0081873",0.445435502966575,1,0.504510569586015,0.977100278330885
"FBgn0051460","FBtr0339327",0.445435502952023,1,0.504510569592976,0.977100278330885
"FBgn0037603","FBtr0081879",0.00165068057867757,1,0.967592008582055,1
"FBgn0037603","FBtr0334317",0.00165068057867757,1,0.967592008582055,1
"FBgn0037607","FBtr0081881",0.932027797069168,1,0.334336557055614,0.892321934478348
"FBgn0037607","FBtr0081882",0.932027797069168,1,0.334336557055614,0.892321934478348
"FBgn0086679","FBtr0081887",0.570645368731221,1,0.450002577969135,0.953430698677493
"FBgn0086679","FBtr0347576",0.570645368731675,1,0.450002577968954,0.953430698677493
"FBgn0263231","FBtr0081888",0.196030322389561,1,0.657944317867926,1
"FBgn0263231","FBtr0334319",0.196030322404113,1,0.657944317856038,1
"FBgn0000447","FBtr0081890",1.78780440448463,1,0.181193903380824,0.770014389458195
"FBgn0000447","FBtr0300442",1.78780440448463,1,0.181193903380824,0.770014389458195
"FBgn0024326","FBtr0081892",2.09309215762914,1,0.147966316521604,0.730182720424297
"FBgn0024326","FBtr0300443",2.00694516925068,1,0.156580332262046,0.739037232372853
"FBgn0024326","FBtr0334320",-0.00465486094981316,1,1,1
"FBgn0051453","FBtr0081898",0.0787222957078484,1,0.779036440918741,1
"FBgn0051453","FBtr0339330",0.0787222957078484,1,0.779036440918741,1
